epoch,loss,loss_boundary,loss_vel_reg,loss_dur_reg,loss_vel_cls,loss_dur_cls,loss_pitch,f1,best_th,time
1,0.48435343096130773,0.6054417804667824,0.0,0.0,0.0,0.0,0.0,0.0,0.55,33.41267991065979
2,0.47035695063440425,0.5879461796660173,0.0,0.0,0.0,0.0,0.0,0.0,0.55,35.33714199066162
3,0.44528930595046595,0.5566116257717735,0.0,0.0,0.0,0.0,0.0,0.21223021582733814,0.55,37.16315317153931
4,0.4524965756817868,0.565620714112332,0.0,0.0,0.0,0.0,0.0,0.4832175925925926,0.64,33.76847004890442
5,0.44974144352109807,0.5621767985193353,0.0,0.0,0.0,0.0,0.0,0.4938344098649442,0.68,54.49803185462952
6,0.42999572659793656,0.5374946500125685,0.0,0.0,0.0,0.0,0.0,0.4953995157384988,0.57,47.16240310668945
7,0.43113016454797043,0.5389126978422466,0.0,0.0,0.0,0.0,0.0,0.4958488405382193,0.66,46.92449164390564
8,0.4294075103182542,0.5367593828000521,0.0,0.0,0.0,0.0,0.0,0.49946178686759957,0.56,61.35767912864685
9,0.4280073281965758,0.5350091488737809,0.0,0.0,0.0,0.0,0.0,0.49636963696369635,0.55,48.536478996276855
10,0.43045113118071304,0.5380639088781256,0.0,0.0,0.0,0.0,0.0,0.5041678643288301,0.59,50.063313007354736
11,0.42571047889558894,0.5321380919531772,0.0,0.0,0.0,0.0,0.0,0.5024154589371981,0.59,71.21470022201538
12,0.4218277288110633,0.5272846504261619,0.0,0.0,0.0,0.0,0.0,0.5005208333333333,0.55,48.72782373428345
