arch,d_model,seed,pos_weight,w_boundary,duv_mode,dropout,reweight,f1,best_th,ckpt,cmd
lstm,256,2024,1.5,1.2,none,0.3,,0.5801382778126964,0.51,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.5_wb1.2_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.5_wb1.2_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.2 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.5 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.5,1.4,none,0.3,,0.580463368816531,0.47,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.5_wb1.4_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.5_wb1.4_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.4 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.5 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.5,1.6,none,0.3,,0.5793699814700433,0.49,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.5_wb1.6_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.5_wb1.6_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.6 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.5 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.6,1.2,none,0.3,,0.5834673528465745,0.5,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.6_wb1.2_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.6_wb1.2_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.2 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.6 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.6,1.4,none,0.3,,0.5799560163367892,0.51,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.6_wb1.4_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.6_wb1.4_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.4 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.6 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.6,1.6,none,0.3,,0.5820472440944882,0.52,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.6_wb1.6_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.6_wb1.6_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.6 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.6 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.7,1.2,none,0.3,,0.5814756671899529,0.53,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.7_wb1.2_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.7_wb1.2_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.2 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.7 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.7,1.4,none,0.3,,0.5806045340050378,0.53,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.7_wb1.4_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.7_wb1.4_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.4 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.7 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,2024,1.7,1.6,none,0.3,,0.5814098565190269,0.52,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.7_wb1.6_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 2024 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed2024_pw1.7_wb1.6_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.6 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.7 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
lstm,256,1337,1.5,1.2,none,0.3,,0.5820763087843833,0.48,checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed1337_pw1.5_wb1.2_none.ckpt,/Users/kinoshitayoshihiro/music_21/composer2-3/.venv/bin/python -m scripts.train_phrase data/phrase_csv/gtr_lead_train.csv data/phrase_csv/gtr_lead_valid.csv --epochs 20 --arch lstm --seed 1337 --duv-mode none --vel-bins 8 --dur-bins 16 --out checkpoints/guitar_lead/sweeps/gtr_lead_v3/lstm_dm256_seed1337_pw1.5_wb1.2_none.ckpt --batch-size 8 --grad-accum 2 --d_model 256 --max-len 256 --instrument guitar --w-boundary 1.2 --w-dur-reg 0.05 --w-vel-reg 0.05 --w-vel-cls 0.05 --w-dur-cls 0.05 --pos-weight 1.5 --dropout 0.3 --weight-decay 0.0005 --scheduler plateau --lr 0.0003 --lr-patience 1 --f1-scan-range 0.3 0.95 0.01 --early-stopping 6 --save-best --device mps --use-duv-embed --progress
