file,events
10_soul-groove10_102_beat_4-4.mid,247
1_funk-groove1_138_beat_4-4.mid,410
2_funk-groove2_105_beat_4-4.mid,323
3_soul-groove3_86_beat_4-4.mid,457
4_soul-groove4_80_beat_4-4.mid,223
5_funk-groove5_84_beat_4-4.mid,368
6_hiphop-groove6_87_beat_4-4.mid,364
7_pop-groove7_138_beat_4-4.mid,210
8_rock-groove8_65_beat_4-4.mid,226
9_soul-groove9_105_beat_4-4.mid,207
100_neworleans-secondline_94_beat_4-4.mid,1397
101_dance-disco_120_beat_4-4.mid,1976
102_funk_95_beat_4-4.mid,2080
103_funk_95_fill_4-4.mid,17
104_funk_95_fill_4-4.mid,12
105_funk_95_fill_4-4.mid,19
106_funk_95_fill_4-4.mid,16
107_funk_95_fill_4-4.mid,17
108_funk_95_fill_4-4.mid,16
109_funk_95_fill_4-4.mid,17
10_jazz-funk_116_fill_4-4.mid,12
110_funk_95_fill_4-4.mid,17
111_funk_95_fill_4-4.mid,17
112_funk_95_fill_4-4.mid,30
113_funk_95_fill_4-4.mid,32
114_funk_95_fill_4-4.mid,23
115_funk_95_fill_4-4.mid,18
116_funk_95_fill_4-4.mid,19
117_funk_95_fill_4-4.mid,20
118_funk_95_fill_4-4.mid,15
119_funk_95_fill_4-4.mid,14
11_jazz-funk_116_fill_4-4.mid,12
120_funk_95_fill_4-4.mid,15
121_funk_95_fill_4-4.mid,14
122_funk_95_fill_4-4.mid,14
123_funk_95_fill_4-4.mid,19
124_funk_95_fill_4-4.mid,17
125_funk_95_fill_4-4.mid,13
126_funk-fast_125_beat_4-4.mid,1827
127_funk-fast_125_fill_4-4.mid,20
128_funk-fast_125_fill_4-4.mid,18
129_funk-fast_125_fill_4-4.mid,21
12_jazz-funk_116_fill_4-4.mid,23
130_funk-fast_125_fill_4-4.mid,8
131_funk-fast_125_fill_4-4.mid,9
132_funk-fast_125_fill_4-4.mid,10
133_funk-fast_125_fill_4-4.mid,12
134_funk-fast_125_fill_4-4.mid,13
135_funk-fast_125_fill_4-4.mid,18
136_funk-fast_125_fill_4-4.mid,18
137_funk-fast_125_fill_4-4.mid,13
138_funk-fast_125_fill_4-4.mid,17
139_funk-fast_125_fill_4-4.mid,14
13_jazz-funk_116_fill_4-4.mid,14
140_funk-fast_125_fill_4-4.mid,17
141_funk-fast_125_fill_4-4.mid,17
142_funk-fast_125_fill_4-4.mid,16
