pitch,velocity,duration,pos,boundary,bar,instrument,velocity_bucket,duration_bucket
44,100,0.1,197,1,6,_Guitar,-1,-1
58,100,0.17727272727272728,273,0,6,_Guitar,-1,-1
44,100,0.32272727272727275,421,0,6,_Guitar,-1,-1
58,100,0.13636363636363635,590,0,6,_Guitar,-1,-1
44,100,0.21818181818181817,647,0,6,_Guitar,-1,-1
58,100,0.2,40,1,7,_Guitar,-1,-1
56,100,0.12272727272727273,268,1,7,_Guitar,-1,-1
58,100,0.5181818181818182,360,0,7,_Guitar,-1,-1
44,100,0.11818181818181818,514,0,7,_Guitar,-1,-1
44,100,0.12272727272727273,554,0,7,_Guitar,-1,-1
44,100,0.12272727272727273,598,0,7,_Guitar,-1,-1
58,100,0.1409090909090909,685,0,7,_Guitar,-1,-1
43,100,0.1,65,1,8,_Guitar,-1,-1
58,100,0.2590909090909091,123,0,8,_Guitar,-1,-1
58,100,0.3181818181818182,440,1,8,_Guitar,-1,-1
58,100,0.5409090909090909,752,1,8,_Guitar,-1,-1
44,100,0.22272727272727272,123,1,9,_Guitar,-1,-1
58,100,0.6181818181818182,185,0,9,_Guitar,-1,-1
44,100,0.3409090909090909,355,0,9,_Guitar,-1,-1
58,100,0.5,524,0,9,_Guitar,-1,-1
58,100,0.18181818181818182,857,1,9,_Guitar,-1,-1
58,100,0.1,25,1,10,_Guitar,-1,-1
58,100,0.5227272727272727,290,1,10,_Guitar,-1,-1
44,100,0.11818181818181818,527,1,10,_Guitar,-1,-1
44,100,0.11818181818181818,558,0,10,_Guitar,-1,-1
58,100,0.5,625,0,10,_Guitar,-1,-1
58,100,0.11818181818181818,53,1,11,_Guitar,-1,-1
58,100,0.6,374,1,11,_Guitar,-1,-1
58,100,0.5590909090909091,682,1,11,_Guitar,-1,-1
44,100,0.6409090909090909,845,0,11,_Guitar,-1,-1
44,100,0.1,197,1,12,_Guitar,-1,-1
46,100,0.32272727272727275,642,1,12,_Guitar,-1,-1
46,100,0.11818181818181818,725,0,12,_Guitar,-1,-1
58,100,0.38181818181818183,792,0,12,_Guitar,-1,-1
44,100,0.21818181818181817,61,1,13,_Guitar,-1,-1
56,100,0.18181818181818182,135,0,13,_Guitar,-1,-1
58,100,0.5772727272727273,216,0,13,_Guitar,-1,-1
44,100,0.1,426,1,13,_Guitar,-1,-1
44,100,0.11818181818181818,457,0,13,_Guitar,-1,-1
44,100,0.12272727272727273,488,0,13,_Guitar,-1,-1
58,100,0.5181818181818182,550,0,13,_Guitar,-1,-1
58,100,0.3409090909090909,871,1,13,_Guitar,-1,-1
58,100,0.1,312,1,14,_Guitar,-1,-1
58,100,0.21818181818181817,338,0,14,_Guitar,-1,-1
43,100,0.1409090909090909,493,0,14,_Guitar,-1,-1
43,100,0.12272727272727273,575,0,14,_Guitar,-1,-1
58,100,0.2818181818181818,637,0,14,_Guitar,-1,-1
63,100,0.18181818181818182,817,1,74,_Guitar,-1,-1
55,100,0.11818181818181818,457,1,75,_Guitar,-1,-1
63,100,0.12272727272727273,597,0,75,_Guitar,-1,-1
63,100,0.2818181818181818,637,0,75,_Guitar,-1,-1
63,100,0.2409090909090909,729,0,75,_Guitar,-1,-1
55,100,0.1,17,1,77,_Guitar,-1,-1
63,100,0.8409090909090909,163,0,77,_Guitar,-1,-1
63,100,0.18181818181818182,352,0,77,_Guitar,-1,-1
56,100,0.2,669,1,77,_Guitar,-1,-1
44,100,0.5590909090909091,734,0,77,_Guitar,-1,-1
63,100,0.4,857,0,77,_Guitar,-1,-1
44,100,0.4409090909090909,92,1,78,_Guitar,-1,-1
56,100,0.2590909090909091,189,0,78,_Guitar,-1,-1
44,100,0.21818181818181817,273,0,78,_Guitar,-1,-1
55,100,0.1409090909090909,426,0,78,_Guitar,-1,-1
58,100,0.3181818181818182,660,1,78,_Guitar,-1,-1
58,100,0.1409090909090909,294,1,79,_Guitar,-1,-1
58,100,0.2,360,0,79,_Guitar,-1,-1
58,100,0.2,514,0,79,_Guitar,-1,-1
63,100,1.3,9,1,80,_Guitar,-1,-1
58,100,0.12272727272727273,299,1,80,_Guitar,-1,-1
63,100,0.6590909090909091,343,0,80,_Guitar,-1,-1
53,100,1.7227272727272727,663,1,80,_Guitar,-1,-1
63,100,0.2,527,1,81,_Guitar,-1,-1
44,100,0.1409090909090909,686,0,81,_Guitar,-1,-1
56,100,0.3181818181818182,743,0,81,_Guitar,-1,-1
58,100,0.42272727272727273,826,0,81,_Guitar,-1,-1
58,100,0.18181818181818182,56,1,82,_Guitar,-1,-1
53,100,0.4,286,1,82,_Guitar,-1,-1
58,100,0.18181818181818182,399,1,83,_Guitar,-1,-1
55,100,0.1409090909090909,619,1,83,_Guitar,-1,-1
55,100,0.11818181818181818,690,0,83,_Guitar,-1,-1
58,100,0.21818181818181817,83,1,84,_Guitar,-1,-1
58,100,0.6818181818181818,197,0,84,_Guitar,-1,-1
55,100,0.2,373,0,84,_Guitar,-1,-1
58,100,0.1409090909090909,422,0,84,_Guitar,-1,-1
58,100,0.1,567,0,84,_Guitar,-1,-1
58,100,0.18181818181818182,312,1,85,_Guitar,-1,-1
58,100,0.3,462,0,85,_Guitar,-1,-1
55,100,0.1590909090909091,536,0,85,_Guitar,-1,-1
58,100,0.21818181818181817,703,0,85,_Guitar,-1,-1
58,100,0.2590909090909091,74,1,86,_Guitar,-1,-1
55,100,0.12272727272727273,509,1,86,_Guitar,-1,-1
63,100,0.21818181818181817,550,0,86,_Guitar,-1,-1
58,100,0.13636363636363635,876,1,86,_Guitar,-1,-1
55,100,0.17727272727272728,119,1,87,_Guitar,-1,-1
55,100,0.17727272727272728,184,0,87,_Guitar,-1,-1
58,100,0.18181818181818182,399,1,87,_Guitar,-1,-1
58,100,0.5,66,1,88,_Guitar,-1,-1
62,100,0.21818181818181817,176,0,88,_Guitar,-1,-1
58,100,0.2772727272727273,237,0,88,_Guitar,-1,-1
58,100,0.1590909090909091,409,0,88,_Guitar,-1,-1
55,100,0.12272727272727273,475,0,88,_Guitar,-1,-1
58,100,0.2,650,0,88,_Guitar,-1,-1
58,100,0.13636363636363635,106,1,89,_Guitar,-1,-1
48,100,0.8590909090909091,409,1,0,DL_Guitar,-1,-1
48,100,0.4,686,1,0,DL_Guitar,-1,-1
