pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
46,104,0.9375,0,1,0,,,6,15
58,104,0.4375,1,1,0,,,6,7
48,104,0.875,2,1,0,,,6,14
36,104,0.1875,3,1,0,,,6,3
48,104,0.125,4,1,0,,,6,2
48,104,0.3125,5,0,0,,,6,5
50,104,0.9375,6,0,0,,,6,15
46,104,0.25,7,1,0,,,6,4
44,104,0.9375,0,1,1,,,6,15
58,104,0.9375,1,1,1,,,6,15
51,104,0.9375,2,1,1,,,6,15
39,104,0.375,3,1,1,,,6,6
39,104,0.1875,4,0,1,,,6,3
39,104,0.0,5,0,1,,,6,0
64,104,0.25,0,1,10000,,,6,4
64,104,0.3125,1,0,10000,,,6,5
64,104,0.25,2,0,10000,,,6,4
52,104,0.125,3,1,10000,,,6,2
52,104,0.8125,4,0,10000,,,6,13
50,104,0.3125,5,1,10000,,,6,5
60,104,0.5,6,1,10000,,,6,8
57,104,0.9375,7,0,10000,,,6,15
60,104,0.1875,8,1,10000,,,6,3
62,104,0.4375,9,0,10000,,,6,7
62,104,0.5,0,1,10001,,,6,8
62,104,0.375,1,0,10001,,,6,6
50,104,0.4375,2,1,10001,,,6,7
62,104,0.8125,3,1,10001,,,6,13
62,104,0.1875,4,1,10001,,,6,3
50,104,0.4375,5,1,10001,,,6,7
58,104,0.625,0,1,20000,,,6,10
56,104,0.75,1,0,20000,,,6,12
58,104,0.3125,2,1,20000,,,6,5
58,104,0.4375,3,0,20000,,,6,7
58,104,0.4375,4,0,20000,,,6,7
51,104,0.25,5,1,20000,,,6,4
56,104,0.5,6,0,20000,,,6,8
56,104,0.25,7,0,20000,,,6,4
56,104,0.3125,8,0,20000,,,6,5
56,104,0.1875,9,0,20000,,,6,3
58,104,0.4375,0,1,20001,,,6,7
56,104,0.125,1,0,20001,,,6,2
55,104,0.3125,2,0,20001,,,6,5
58,104,0.1875,3,0,20001,,,6,3
58,104,0.5,4,0,20001,,,6,8
63,104,0.75,5,0,20001,,,6,12
58,104,0.625,6,1,20001,,,6,10
58,104,0.9375,7,0,20001,,,6,15
63,104,0.8125,8,1,20001,,,6,13
62,104,0.9375,0,1,20002,,,6,15
62,104,0.625,1,1,20002,,,6,10
