song_id,midi_stem,score
"Molitor, Franz Simon, Guitar Sonata, Op.12, 34IIpKUMx_M","Molitor, Franz Simon, Guitar Sonata, Op.12, 34IIpKUMx_M",1.0000
Rocky,Rocky,1.0000
"Molitor, Franz Simon, Guitar Sonata, Op.15, 8KeDwsjwu4Y","Molitor, Franz Simon, Guitar Sonata, Op.15, 8KeDwsjwu4Y",1.0000
watasino,watasino,1.0000
Stems,Stems,1.0000
DL_Guitar_1,DL_Guitar_1,1.0000
_Guitar,Guitar,1.0000
DL_Guitar,DL_Guitar,1.0000
DL. 契りきぬ 達郎 Stems,DL. 契りきぬ 達郎 Stems,1.0000
koumou_heartfullpop_ruriko,koumou_heartfullpop_ruriko,1.0000
DL_deepemotion_Guitar,DL_deepemotion_Guitar,1.0000
