note_on,time,velocity,instrument,duration
61,0.031818181818181815,1,strings,0.09999999999999999
61,91.81818181818181,1,strings,0.09999999999999432
61,91.87272727272727,4,strings,0.045454545454532536
61,91.93636363636364,7,strings,0.03636363636363171
61,92.02045454545454,8,strings,0.01590909090909065
61,92.08636363636363,13,strings,0.03409090909090651
61,92.3090909090909,23,strings,0.10000000000000853
61,92.37272727272727,34,strings,0.03636363636363171
61,92.50227272727273,36,strings,0.09999999999999432
61,92.54318181818181,31,strings,0.05909090909091219
61,92.57499999999999,29,strings,0.02727272727273089
61,92.73636363636363,21,strings,0.09999999999999432
61,92.77954545454546,15,strings,0.056818181818172775
61,92.88636363636363,14,strings,0.10000000000000853
61,92.93863636363636,11,strings,0.04772727272727195
61,93.01363636363637,9,strings,0.024999999999991473
61,93.04545454545455,11,strings,0.06818181818181301
61,93.12045454545454,14,strings,0.025000000000005684
61,93.35454545454544,16,strings,0.10000000000000853
61,93.4090909090909,15,strings,0.045454545454546746
61,93.47272727272727,11,strings,0.03636363636363171
61,93.52499999999999,7,strings,0.04772727272727195
61,93.56818181818181,6,strings,0.004545454545450411
61,93.65227272727272,12,strings,0.01590909090909065
61,93.72727272727272,15,strings,0.025000000000005684
61,93.84545454545454,15,strings,0.09999999999999432
61,94.02727272727272,10,strings,0.10000000000000853
61,94.07045454545454,10,strings,0.056818181818186986
61,94.175,7,strings,0.09999999999999432
61,94.24090909090908,5,strings,0.03409090909090651
61,94.31363636363636,7,strings,0.02727272727271668
61,94.45227272727273,12,strings,0.09999999999999432
61,94.52727272727272,12,strings,0.025000000000005684
61,94.57045454545454,9,strings,0.056818181818186986
61,94.65681818181818,7,strings,0.013636363636365445
61,94.81590909090909,8,strings,0.09999999999999432
61,94.87045454545454,6,strings,0.045454545454546746
61,95.0090909090909,5,strings,0.10000000000000853
61,95.10454545454544,8,strings,0.004545454545464622
61,95.14772727272727,10,strings,0.056818181818186986
61,95.18863636363636,11,strings,0.01590909090909065
61,95.23181818181818,12,strings,0.01590909090909065
61,95.26363636363637,12,strings,0.024999999999991473
61,95.46590909090908,9,strings,0.10000000000000853
61,95.52045454545454,10,strings,0.045454545454546746
61,95.72272727272727,14,strings,0.09999999999999432
61,95.91363636363636,11,strings,0.10000000000000853
61,95.94772727272726,11,strings,0.06590909090910202
61,96.07499999999999,9,strings,0.10000000000000853
61,96.17045454545455,10,strings,0.004545454545450411
61,96.20227272727273,12,strings,0.06818181818181301
61,96.25681818181818,12,strings,0.013636363636365445
61,96.39545454545454,9,strings,0.09999999999999432
61,96.51136363636363,7,strings,0.10000000000000853
61,96.54318181818181,8,strings,0.06818181818182723
61,96.59772727272727,10,strings,0.013636363636365445
61,96.62954545454545,13,strings,0.013636363636365445
61,96.68181818181817,17,strings,0.01590909090909065
61,96.71363636363635,17,strings,0.01590909090909065
61,96.89545454545454,18,strings,0.09999999999999432
61,96.94999999999999,24,strings,0.045454545454546746
61,97.07727272727273,22,strings,0.09999999999999432
61,97.15227272727272,21,strings,0.025000000000005684
61,97.1840909090909,21,strings,0.06818181818182723
61,97.27045454545454,18,strings,0.013636363636365445
61,97.30227272727272,19,strings,0.06818181818181301
61,97.36590909090908,23,strings,0.004545454545450411
61,97.46136363636363,23,strings,0.004545454545450411
61,97.50454545454545,23,strings,0.056818181818186986
61,97.55681818181817,20,strings,0.004545454545464622
61,97.62045454545454,18,strings,0.036363636363645924
61,97.68636363636364,18,strings,0.03409090909090651
61,97.71818181818182,21,strings,0.0022727272727252057
61,97.80227272727272,27,strings,0.01590909090909065
61,97.85681818181818,23,strings,0.045454545454532536
61,97.94090909090909,13,strings,0.01590909090909065
61,98.11136363636363,16,strings,0.09999999999999432
61,98.18636363636364,27,strings,0.024999999999991473
61,98.27272727272727,28,strings,0.013636363636365445
61,98.31363636363636,22,strings,0.05909090909091219
61,98.35681818181818,14,strings,0.01590909090909065
61,98.44318181818181,10,strings,0.013636363636365445
61,98.55,12,strings,0.09999999999999432
61,98.58181818181818,12,strings,0.06818181818181301
61,98.61363636363636,13,strings,0.03636363636363171
61,98.67727272727272,13,strings,0.004545454545450411
61,98.83636363636363,6,strings,0.10000000000000853
61,98.87045454545454,6,strings,0.06590909090910202
61,98.975,11,strings,0.09999999999999432
61,99.04090909090908,9,strings,0.03409090909090651
61,99.17954545454545,10,strings,0.10000000000000853
61,99.23181818181817,16,strings,0.04772727272728616
61,99.41363636363636,11,strings,0.10000000000000853
61,99.47727272727272,14,strings,0.036363636363645924
61,99.5090909090909,15,strings,0.004545454545464622
61,99.60454545454544,14,strings,0.004545454545464622
61,99.70227272727273,15,strings,0.0022727272727252057
61,99.73409090909091,15,strings,0.06818181818181301
61,99.8090909090909,22,strings,0.025000000000005684
61,99.87272727272727,24,strings,0.03636363636363171
61,100.01136363636363,27,strings,0.10000000000000853
61,100.06363636363636,30,strings,0.04772727272727195
61,100.225,23,strings,0.09999999999999432
61,100.3090909090909,24,strings,0.01590909090909065
61,100.36363636363636,24,strings,0.045454545454546746
61,100.42727272727272,25,strings,0.03636363636363171
61,100.51136363636363,21,strings,0.01590909090909065
61,100.67272727272727,15,strings,0.09999999999999432
61,100.70454545454545,16,strings,0.06818181818181301
61,100.73636363636363,16,strings,0.03636363636363171
61,100.81136363636364,18,strings,0.024999999999991473
61,100.84318181818182,19,strings,0.06818181818181301
61,100.875,20,strings,0.03636363636363171
61,100.99090909090908,21,strings,0.09999999999999432
61,101.02499999999999,20,strings,0.06590909090908781
61,101.10909090909091,13,strings,0.01590909090909065
61,101.16363636363636,8,strings,0.045454545454546746
61,101.19545454545454,8,strings,0.013636363636365445
61,101.29090909090908,14,strings,0.004545454545464622
61,101.3340909090909,17,strings,0.056818181818186986
61,101.39772727272727,23,strings,0.03636363636363171
61,101.44090909090909,27,strings,0.056818181818186986
61,101.49318181818181,29,strings,0.004545454545464622
61,101.55681818181817,30,strings,0.036363636363645924
61,101.63181818181818,43,strings,0.025000000000005684
61,101.66363636363636,43,strings,0.06818181818181301
61,101.73863636363636,30,strings,0.025000000000005684
61,101.78181818181818,26,strings,0.056818181818172775
61,101.96363636363635,39,strings,0.10000000000000853
61,101.99545454545454,40,strings,0.06818181818182723
61,102.0590909090909,41,strings,0.004545454545464622
61,102.10227272727272,42,strings,0.056818181818186986
61,102.14318181818182,43,strings,0.01590909090909065
61,102.2090909090909,42,strings,0.03409090909090651
61,102.38863636363637,26,strings,0.09999999999999432
61,102.58181818181818,24,strings,0.09999999999999432
61,102.625,25,strings,0.056818181818172775
61,102.74090909090908,27,strings,0.09999999999999432
61,102.77272727272727,34,strings,0.06818181818181301
61,102.89090909090909,28,strings,0.09999999999999432
61,102.99772727272727,19,strings,0.09999999999999432
61,103.18863636363636,24,strings,0.09999999999999432
61,103.22045454545454,26,strings,0.06818181818181301
61,103.27499999999999,35,strings,0.013636363636365445
61,103.40227272727272,20,strings,0.10000000000000853
61,103.52045454545454,9,strings,0.09999999999999432
61,103.57272727272726,10,strings,0.04772727272727195
61,103.61590909090908,12,strings,0.004545454545450411
61,103.67954545454545,15,strings,0.03636363636363171
61,103.74318181818181,16,strings,0.036363636363645924
61,103.78636363636363,15,strings,0.056818181818186986
61,103.925,22,strings,0.09999999999999432
61,104.0,25,strings,0.024999999999991473
61,104.1590909090909,15,strings,0.09999999999999432
61,104.26590909090909,10,strings,0.09999999999999432
61,104.29772727272727,10,strings,0.06818181818181301
61,104.34090909090908,11,strings,0.025000000000005684
61,104.43636363636364,14,strings,0.004545454545450411
61,104.58636363636363,18,strings,0.10000000000000853
61,104.64090909090909,19,strings,0.045454545454546746
61,104.74772727272726,22,strings,0.10000000000000853
61,104.78863636363636,24,strings,0.05909090909091219
61,104.85227272727272,29,strings,0.036363636363645924
61,104.92727272727272,30,strings,0.025000000000005684
61,105.01363636363637,17,strings,0.013636363636351234
61,105.06590909090909,14,strings,0.04772727272727195
61,105.12045454545454,18,strings,0.045454545454546746
61,105.17272727272727,19,strings,0.04772727272727195
61,105.23636363636363,17,strings,0.03636363636363171
61,105.27954545454546,14,strings,0.056818181818172775
61,105.36590909090908,12,strings,0.013636363636365445
61,105.42954545454545,14,strings,0.03636363636363171
61,105.51363636363637,23,strings,0.01590909090909065
61,105.56818181818181,31,strings,0.045454545454546746
61,105.6,34,strings,0.013636363636365445
61,105.85681818181817,9,strings,0.10000000000000853
61,105.97272727272727,8,strings,0.09999999999999432
61,106.01590909090909,10,strings,0.056818181818172775
