pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
58,100,0.17727272727272728,273,1,6,_Guitar,_Guitar,6,3
58,100,0.13636363636363635,590,1,6,_Guitar,_Guitar,6,2
58,100,0.2,40,1,7,_Guitar,_Guitar,6,3
56,100,0.12272727272727273,268,1,7,_Guitar,_Guitar,6,2
58,100,0.5181818181818182,360,0,7,_Guitar,_Guitar,6,8
58,100,0.1409090909090909,685,1,7,_Guitar,_Guitar,6,2
58,100,0.2590909090909091,123,1,8,_Guitar,_Guitar,6,4
58,100,0.3181818181818182,440,1,8,_Guitar,_Guitar,6,5
58,100,0.5409090909090909,752,1,8,_Guitar,_Guitar,6,9
58,100,0.6181818181818182,185,1,9,_Guitar,_Guitar,6,10
58,100,0.5,524,1,9,_Guitar,_Guitar,6,8
58,100,0.18181818181818182,857,1,9,_Guitar,_Guitar,6,3
58,100,0.1,25,1,10,_Guitar,_Guitar,6,2
58,100,0.5227272727272727,290,1,10,_Guitar,_Guitar,6,8
58,100,0.5,625,1,10,_Guitar,_Guitar,6,8
58,100,0.11818181818181818,53,1,11,_Guitar,_Guitar,6,2
58,100,0.6,374,1,11,_Guitar,_Guitar,6,10
58,100,0.5590909090909091,682,1,11,_Guitar,_Guitar,6,9
58,100,0.38181818181818183,792,1,12,_Guitar,_Guitar,6,6
56,100,0.18181818181818182,135,1,13,_Guitar,_Guitar,6,3
58,100,0.5772727272727273,216,0,13,_Guitar,_Guitar,6,9
58,100,0.5181818181818182,550,1,13,_Guitar,_Guitar,6,8
58,100,0.3409090909090909,871,1,13,_Guitar,_Guitar,6,5
58,100,0.1,312,1,14,_Guitar,_Guitar,6,2
58,100,0.21818181818181817,338,0,14,_Guitar,_Guitar,6,3
58,100,0.2818181818181818,637,1,14,_Guitar,_Guitar,6,5
63,100,0.18181818181818182,817,1,74,_Guitar,_Guitar,6,3
55,100,0.11818181818181818,457,1,75,_Guitar,_Guitar,6,2
63,100,0.12272727272727273,597,1,75,_Guitar,_Guitar,6,2
63,100,0.2818181818181818,637,0,75,_Guitar,_Guitar,6,5
63,100,0.2409090909090909,729,0,75,_Guitar,_Guitar,6,4
55,100,0.1,17,1,77,_Guitar,_Guitar,6,2
63,100,0.8409090909090909,163,1,77,_Guitar,_Guitar,6,13
63,100,0.18181818181818182,352,1,77,_Guitar,_Guitar,6,3
56,100,0.2,669,1,77,_Guitar,_Guitar,6,3
63,100,0.4,857,1,77,_Guitar,_Guitar,6,6
56,100,0.2590909090909091,189,1,78,_Guitar,_Guitar,6,4
55,100,0.1409090909090909,426,1,78,_Guitar,_Guitar,6,2
58,100,0.3181818181818182,660,1,78,_Guitar,_Guitar,6,5
58,100,0.1409090909090909,294,1,79,_Guitar,_Guitar,6,2
58,100,0.2,360,0,79,_Guitar,_Guitar,6,3
58,100,0.2,514,1,79,_Guitar,_Guitar,6,3
74,100,0.4818181818181818,637,1,79,_Guitar,_Guitar,6,8
74,100,0.3,747,1,79,_Guitar,_Guitar,6,5
63,100,1.3,9,1,80,_Guitar,_Guitar,6,15
58,100,0.12272727272727273,299,1,80,_Guitar,_Guitar,6,2
63,100,0.6590909090909091,343,0,80,_Guitar,_Guitar,6,11
53,100,1.7227272727272727,663,1,80,_Guitar,_Guitar,6,15
